X,Y,y3_hhid,lat_mod,lon_mod,DN,Label,Description
39.83417,-10.39111,1518-001,-10.39111,39.83417,100,Unsuit,Unsuitable for crops
39.83417,-10.39111,1519-001,-10.39111,39.83417,100,Unsuit,Unsuitable for crops
38.81021,-10.72854,1520-001,-10.72854,38.81021,100,Unsuit,Unsuitable for crops
39.91162,-10.47254,1521-006,-10.47254,39.91162,100,Unsuit,Unsuitable for crops
39.83417,-10.39111,1522-001,-10.39111,39.83417,100,Unsuit,Unsuitable for crops
39.83417,-10.39111,1522-005,-10.39111,39.83417,100,Unsuit,Unsuitable for crops
39.83417,-10.39111,1523-001,-10.39111,39.83417,100,Unsuit,Unsuitable for crops
39.83417,-10.39111,1524-001,-10.39111,39.83417,100,Unsuit,Unsuitable for crops
39.83417,-10.39111,1525-001,-10.39111,39.83417,100,Unsuit,Unsuitable for crops
39.83417,-10.39111,1525-003,-10.39111,39.83417,100,Unsuit,Unsuitable for crops
39.86044,-10.55894,1545-001,-10.55894,39.86044,100,Unsuit,Unsuitable for crops
39.27777,-10.95055,1555-001,-10.95055,39.27777,100,Unsuit,Unsuitable for crops
39.27777,-10.95055,1556-001,-10.95055,39.27777,100,Unsuit,Unsuitable for crops
39.27777,-10.95055,1556-101,-10.95055,39.27777,100,Unsuit,Unsuitable for crops
39.27777,-10.95055,1557-001,-10.95055,39.27777,100,Unsuit,Unsuitable for crops
39.27777,-10.95055,1558-001,-10.95055,39.27777,100,Unsuit,Unsuitable for crops
39.27777,-10.95055,1559-001,-10.95055,39.27777,100,Unsuit,Unsuitable for crops
39.27777,-10.95055,1560-001,-10.95055,39.27777,100,Unsuit,Unsuitable for crops
39.27777,-10.95055,1561-001,-10.95055,39.27777,100,Unsuit,Unsuitable for crops
38.82299,-10.71563,1562-001,-10.71563,38.82299,100,Unsuit,Unsuitable for crops
39.27777,-10.95055,1563-001,-10.95055,39.27777,100,Unsuit,Unsuitable for crops
39.27777,-10.95055,1564-001,-10.95055,39.27777,100,Unsuit,Unsuitable for crops
39.27777,-10.95055,1565-001,-10.95055,39.27777,100,Unsuit,Unsuitable for crops
39.27777,-10.95055,1566-001,-10.95055,39.27777,100,Unsuit,Unsuitable for crops
39.27777,-10.95055,1567-001,-10.95055,39.27777,100,Unsuit,Unsuitable for crops
39.29269,-10.92088,1569-001,-10.92088,39.29269,100,Unsuit,Unsuitable for crops
39.29269,-10.92088,1570-001,-10.92088,39.29269,100,Unsuit,Unsuitable for crops
39.29269,-10.92088,1572-001,-10.92088,39.29269,100,Unsuit,Unsuitable for crops
39.29269,-10.92088,1573-001,-10.92088,39.29269,100,Unsuit,Unsuitable for crops
39.29269,-10.92088,1573-003,-10.92088,39.29269,100,Unsuit,Unsuitable for crops
39.29269,-10.92088,1576-001,-10.92088,39.29269,100,Unsuit,Unsuitable for crops
39.29269,-10.92088,1578-001,-10.92088,39.29269,100,Unsuit,Unsuitable for crops
38.81436,-10.70292,1579-001,-10.70292,38.81436,100,Unsuit,Unsuitable for crops
39.29269,-10.92088,1580-001,-10.92088,39.29269,100,Unsuit,Unsuitable for crops
39.29269,-10.92088,1580-003,-10.92088,39.29269,100,Unsuit,Unsuitable for crops
38.81725,-10.7144,1586-001,-10.7144,38.81725,100,Unsuit,Unsuitable for crops
38.78857,-10.35508,1617-004,-10.35508,38.78857,100,Unsuit,Unsuitable for crops
38.80387,-10.72217,1621-001,-10.72217,38.80387,100,Unsuit,Unsuitable for crops
38.80387,-10.72217,1621-003,-10.72217,38.80387,100,Unsuit,Unsuitable for crops
38.80387,-10.72217,1621-004,-10.72217,38.80387,100,Unsuit,Unsuitable for crops
38.80387,-10.72217,1622-001,-10.72217,38.80387,100,Unsuit,Unsuitable for crops
38.80387,-10.72217,1623-001,-10.72217,38.80387,100,Unsuit,Unsuitable for crops
38.80387,-10.72217,1623-002,-10.72217,38.80387,100,Unsuit,Unsuitable for crops
38.80387,-10.72217,1624-001,-10.72217,38.80387,100,Unsuit,Unsuitable for crops
38.80387,-10.72217,1625-001,-10.72217,38.80387,100,Unsuit,Unsuitable for crops
38.80387,-10.72217,1626-001,-10.72217,38.80387,100,Unsuit,Unsuitable for crops
38.80387,-10.72217,1628-002,-10.72217,38.80387,100,Unsuit,Unsuitable for crops
38.80387,-10.72217,1629-001,-10.72217,38.80387,100,Unsuit,Unsuitable for crops
38.80387,-10.72217,1630-001,-10.72217,38.80387,100,Unsuit,Unsuitable for crops
38.80387,-10.72217,1630-003,-10.72217,38.80387,100,Unsuit,Unsuitable for crops
38.80387,-10.72217,1631-001,-10.72217,38.80387,100,Unsuit,Unsuitable for crops
39.35052,-8.02887,1654-006,-8.02887,39.35052,100,Unsuit,Unsuitable for crops
39.49456,-9.94399,1689-001,-9.94399,39.49456,100,Unsuit,Unsuitable for crops
39.49031,-9.95146,1689-002,-9.95146,39.49031,100,Unsuit,Unsuitable for crops
38.76335,-10.71573,1710-001,-10.71573,38.76335,100,Unsuit,Unsuitable for crops
37.36247,-11.02628,1766-001,-11.02628,37.36247,100,Unsuit,Unsuitable for crops
37.36247,-11.02628,1767-001,-11.02628,37.36247,100,Unsuit,Unsuitable for crops
37.36247,-11.02628,1767-003,-11.02628,37.36247,100,Unsuit,Unsuitable for crops
37.36247,-11.02628,1768-001,-11.02628,37.36247,100,Unsuit,Unsuitable for crops
37.36247,-11.02628,1769-002,-11.02628,37.36247,100,Unsuit,Unsuitable for crops
37.36247,-11.02628,1770-001,-11.02628,37.36247,100,Unsuit,Unsuitable for crops
37.36247,-11.02628,1771-001,-11.02628,37.36247,100,Unsuit,Unsuitable for crops
37.36247,-11.02628,1772-001,-11.02628,37.36247,100,Unsuit,Unsuitable for crops
37.36247,-11.02628,1773-001,-11.02628,37.36247,100,Unsuit,Unsuitable for crops
37.36247,-11.02628,1774-001,-11.02628,37.36247,100,Unsuit,Unsuitable for crops
33.60054,-9.27084,2148-001,-9.27084,33.60054,100,Unsuit,Unsuitable for crops
33.60054,-9.27084,2150-001,-9.27084,33.60054,100,Unsuit,Unsuitable for crops
33.60054,-9.27084,2151-001,-9.27084,33.60054,100,Unsuit,Unsuitable for crops
33.60054,-9.27084,2152-001,-9.27084,33.60054,100,Unsuit,Unsuitable for crops
33.60054,-9.27084,2153-001,-9.27084,33.60054,100,Unsuit,Unsuitable for crops
33.60054,-9.27084,2154-001,-9.27084,33.60054,100,Unsuit,Unsuitable for crops
34.75408,-4.80935,2287-001,-4.80935,34.75408,100,Unsuit,Unsuitable for crops
34.75408,-4.80935,2288-001,-4.80935,34.75408,100,Unsuit,Unsuitable for crops
34.75408,-4.80935,2288-002,-4.80935,34.75408,100,Unsuit,Unsuitable for crops
34.75408,-4.80935,2289-001,-4.80935,34.75408,100,Unsuit,Unsuitable for crops
34.75408,-4.80935,2289-002,-4.80935,34.75408,100,Unsuit,Unsuitable for crops
34.75408,-4.80935,2290-001,-4.80935,34.75408,100,Unsuit,Unsuitable for crops
34.75408,-4.80935,2291-001,-4.80935,34.75408,100,Unsuit,Unsuitable for crops
34.75408,-4.80935,2291-006,-4.80935,34.75408,100,Unsuit,Unsuitable for crops
34.75408,-4.80935,2292-001,-4.80935,34.75408,100,Unsuit,Unsuitable for crops
31.06111,-6.35877,2340-008,-6.35877,31.06111,100,Unsuit,Unsuitable for crops
33.50815,-7.0389,2386-001,-7.0389,33.50815,100,Unsuit,Unsuitable for crops
33.93084,-6.34458,2416-104,-6.34458,33.93084,100,Unsuit,Unsuitable for crops
31.06974,-6.34828,2468-001,-6.34828,31.06974,100,Unsuit,Unsuitable for crops
31.06974,-6.34828,2469-001,-6.34828,31.06974,100,Unsuit,Unsuitable for crops
31.06974,-6.34828,2470-001,-6.34828,31.06974,100,Unsuit,Unsuitable for crops
31.06974,-6.34828,2471-001,-6.34828,31.06974,100,Unsuit,Unsuitable for crops
31.06974,-6.34828,2473-001,-6.34828,31.06974,100,Unsuit,Unsuitable for crops
31.77559,-7.81785,2494-001,-7.81785,31.77559,100,Unsuit,Unsuitable for crops
31.77559,-7.81785,2495-001,-7.81785,31.77559,100,Unsuit,Unsuitable for crops
31.77559,-7.81785,2496-001,-7.81785,31.77559,100,Unsuit,Unsuitable for crops
31.77559,-7.81785,2497-001,-7.81785,31.77559,100,Unsuit,Unsuitable for crops
31.77559,-7.81785,2498-001,-7.81785,31.77559,100,Unsuit,Unsuitable for crops
31.77559,-7.81785,2498-003,-7.81785,31.77559,100,Unsuit,Unsuitable for crops
31.77559,-7.81785,2498-004,-7.81785,31.77559,100,Unsuit,Unsuitable for crops
31.77559,-7.81785,2499-001,-7.81785,31.77559,100,Unsuit,Unsuitable for crops
31.77559,-7.81785,2500-001,-7.81785,31.77559,100,Unsuit,Unsuitable for crops
31.77559,-7.81785,2501-001,-7.81785,31.77559,100,Unsuit,Unsuitable for crops
32.43309,-3.17675,2687-006,-3.17675,32.43309,100,Unsuit,Unsuitable for crops
32.45967,-3.24131,2765-001,-3.24131,32.45967,100,Unsuit,Unsuitable for crops
31.79107,-1.31066,2853-001,-1.31066,31.79107,100,Unsuit,Unsuitable for crops
31.82094,-1.29864,2933-001,-1.29864,31.82094,100,Unsuit,Unsuitable for crops
31.80694,-1.30888,2940-005,-1.30888,31.80694,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3027-001,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3028-001,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3028-002,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3029-001,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3029-002,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3031-001,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3031-003,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3031-009,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3032-001,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3033-001,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3035-001,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3036-001,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3037-001,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3038-001,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
31.78772,-1.33945,3039-001,-1.33945,31.78772,100,Unsuit,Unsuitable for crops
32.72905,-3.53931,3138-012,-3.53931,32.72905,100,Unsuit,Unsuitable for crops
32.79363,-3.50524,3283-008,-3.50524,32.79363,100,Unsuit,Unsuitable for crops
35.69971,-4.18987,3288-001,-4.18987,35.69971,100,Unsuit,Unsuitable for crops
35.69971,-4.18987,3289-001,-4.18987,35.69971,100,Unsuit,Unsuitable for crops
35.69971,-4.18987,3290-001,-4.18987,35.69971,100,Unsuit,Unsuitable for crops
35.69971,-4.18987,3291-001,-4.18987,35.69971,100,Unsuit,Unsuitable for crops
35.69971,-4.18987,3292-001,-4.18987,35.69971,100,Unsuit,Unsuitable for crops
