hhid,hc_seq_5m,res03_crav6190l_silr_cer
03040310030024,4836689,5
03040310030114,4836689,5
03040310030119,4836689,5
03040310030159,4836689,5
03040310030172,4836689,5
03040310030210,4836689,5
03040310030240,4836689,5
03040310030270,4836689,5
03050040020068,4832366,5
03050040020092,4832366,5
03050040020175,4832366,5
03050040020188,4832366,5
03050040020300,4832366,5
03050040020322,4832366,5
03050040020411,4832366,5
03050040020652,4832366,5
03050100040105,4836684,4
03050100040219,4836684,4
03050100040351,4836684,4
03050100040470,4836684,4
03050100040574,4836684,4
03050100040685,4836684,4
03050100040708,4836684,4
03050100040803,4836684,4
03050130050028,4841005,4
03050130050042,4841005,4
03050130050044,4841005,4
03050130050103,4841005,4
03050130050115,4841005,4
03050130050124,4841005,4
03050130050175,4841005,4
03050130050231,4841005,4
04010150020006,4910143,6
04010150020030,4910143,6
04010150020158,4910143,6
04010150020399,4910143,6
04010150020412,4910143,6
04010150020440,4910143,6
04010150020454,4910143,6
04010150020543,4910143,6
04010270040121,4910139,4
04010270040350,4910139,4
04010270040487,4910139,4
04010270040854,4910139,4
04010270041189,4910139,4
04010270041200,4910139,4
04010270041343,4910139,4
04010270041421,4910139,4
04020040050044,4927422,4
04020040050112,4927422,4
04020040050115,4927422,4
04020040050124,4927422,4
04020040050193,4927422,4
04020040050317,4927422,4
04020040050419,4927422,4
04020040050483,4927422,4
04020083520002,4936061,4
04020083520009,4936061,4
04020083520015,4936061,4
04020083520016,4936061,4
04020083520023,4936061,4
04020083520029,4936061,4
04020083520035,4936061,4
04020083520050,4936061,4
04020120020084,4923101,5
04020120020087,4923101,5
04020120020187,4923101,5
04020120020226,4923101,5
04020120020287,4923101,5
04020120020300,4923101,5
04020120020329,4923101,5
04020120020403,4923101,5
04030090030009,4927423,4
04030090030030,4927423,4
04030090030041,4927423,4
04030090030070,4927423,4
04030090030107,4927423,4
04030090030168,4927423,4
04030090030270,4927423,4
04030090030399,4927423,4
04030340010054,4940384,4
04030340010065,4940384,4
04030340010077,4940384,4
04030340010093,4940384,4
04030340010157,4940384,4
04030340010176,4940384,4
04030340010202,4940384,4
04030340010351,4940384,4
04040240030050,4923109,
04040240030064,4923109,
04040240030075,4923109,
04040240030079,4923109,
04040240030096,4923109,
04040240030123,4923109,
04040240030129,4923109,
04040240030149,4923109,
04050020050005,4949027,5
04050020050006,4949027,5
04050020050024,4949027,5
04050020050045,4949027,5
04050020050047,4949027,5
04050020050048,4949027,5
04050020050056,4949027,5
04050020050060,4949027,5
04050100040016,4953346,4
04050100040035,4953346,4
04050100040045,4953346,4
04050100040050,4953346,4
04050100040084,4953346,4
04050100040088,4953346,4
04050100040110,4953346,4
04050100040148,4953346,4
04060030010044,4961978,3
04060030010285,4961978,3
04060030010347,4961978,3
04060030010351,4961978,3
04060030010396,4961978,3
04060030010895,4961978,3
04060030010941,4961978,3
04060030011083,4961978,3
04060170030055,4957661,3
04060170030114,4957661,3
04060170030116,4957661,3
04060170030168,4957661,3
04060170030303,4957661,3
04060170030328,4957661,3
04060170030347,4957661,3
04060170030407,4957661,3
04060190020176,4944696,4
04060190020339,4944696,4
04060190020446,4944696,4
04060190020532,4944696,4
04060190020547,4944696,4
04060190020604,4944696,4
04060190020673,4944696,4
04060190020786,4944696,4
04070110020032,4949010,4
04070110020039,4949010,4
04070110020123,4949010,4
04070110020130,4949010,4
04070110020190,4949010,4
04070110020261,4949010,4
04070110020314,4949010,4
04070110020324,4949010,4
05010080050261,5009486,4
05010080050358,5009486,4
05010080050729,5009486,4
05010080050769,5009486,4
05010080051229,5009486,4
05010080051327,5009486,4
05010080051340,5009486,4
05010080051372,5009486,4
05010340020066,4996524,5
05010340020078,4996524,5
05010340020237,4996524,5
05010340020280,4996524,5
05010340020345,4996524,5
05010340020396,4996524,5
05010340020446,4996524,5
05010340020457,4996524,5
05020180070038,5026774,5
05020180070180,5026774,5
05020180070308,5026774,5
05020180070411,5026774,5
05020180070516,5026774,5
05020180070564,5026774,5
05020180070595,5026774,5
05020180070649,5026774,5
05030083210012,5087240,4
05030083210013,5087240,4
05030083210016,5087240,4
05030083210024,5087240,4
05030083210040,5087240,4
05030083210047,5087240,4
05030083210053,5087240,4
05030083210059,5087240,4
05030100010071,5087238,4
05030100010212,5087238,4
05030100010241,5087238,4
05030100010459,5087238,4
05030100010604,5087238,4
05030100010754,5087238,4
05030100010886,5087238,4
05030100011179,5087238,4
05040053030006,5117480,6
05040053030008,5117480,6
05040053030011,5117480,6
05040053030013,5117480,6
05040053030047,5117480,6
05040053030050,5117480,6
05040053030054,5117480,6
05040053030055,5117480,6
05040070020025,5117480,6
05040070020071,5117480,6
05040070020144,5117480,6
05040070020157,5117480,6
05040070020369,5117480,6
05040070020407,5117480,6
05040070020505,5117480,6
05040070020755,5117480,6
05050020180036,5018131,4
05050020180044,5018131,4
05050020180048,5018131,4
05050020180049,5018131,4
05050020180068,5018131,4
05050020180072,5018131,4
05050020180092,5018131,4
05050020180125,5018131,4
05050090010021,5022451,5
05050090010029,5022451,5
05050090010033,5022451,5
05050090010047,5022451,5
05050090010065,5022451,5
05050090010081,5022451,5
05050090010094,5022451,5
05050090010133,5022451,5
05050093330003,5018131,4
05050093330004,5018131,4
05050093330036,5018131,4
05050093330041,5018131,4
05050093330042,5018131,4
05050093330048,5018131,4
05050093330063,5018131,4
05050093330094,5018131,4
05050193140036,5018131,4
05050193140039,5018131,4
05050193140044,5018131,4
05050193140048,5018131,4
05050193140059,5018131,4
05050193140062,5018131,4
05050193140065,5018131,4
05050193140072,5018131,4
05060080060006,4983572,3
05060080060055,4983572,3
05060080060114,4983572,3
05060080060116,4983572,3
05060080060158,4983572,3
05060080060168,4983572,3
05060080060193,4983572,3
05060080060303,4983572,3
05060090030092,4974931,5
05060090030175,4974931,5
05060090030188,4974931,5
05060090030192,4974931,5
05060090030241,4974931,5
05060090030300,4974931,5
05060090030322,4974931,5
05060090030411,4974931,5
05060110010003,5039730,5
05060110010031,5039730,5
05060110010055,5039730,5
05060110010058,5039730,5
05060110010133,5039730,5
05060110010177,5039730,5
05060110010215,5039730,5
05060110010300,5039730,5
06010060180028,5000866,4
06010060180042,5000866,4
06010060180044,5000866,4
06010060180059,5000866,4
06010060180089,5000866,4
06010060180103,5000866,4
06010060180112,5000866,4
06010060180124,5000866,4
06010120010148,5009500,6
06010120010161,5009500,6
06010120011052,5009500,6
06010120011167,5009500,6
06010120011568,5009500,6
06010120011729,5009500,6
06010120011782,5009500,6
06010120011976,5009500,6
06020050010003,5009505,4
06020050010040,5009505,4
06020050010065,5009505,4
06020050010067,5009505,4
06020050010132,5009505,4
06020050010188,5009505,4
06020050010197,5009505,4
06020050010232,5009505,4
06030130010029,5026784,4
06030130010056,5026784,4
06030130010090,5026784,4
06030130010097,5026784,4
06030130010116,5026784,4
06030130010254,5026784,4
06030130010275,5026784,4
06030130010282,5026784,4
06040100060029,5052709,4
06040100060100,5052709,4
06040100060141,5052709,4
06040100060160,5052709,4
06040100060205,5052709,4
06040100060326,5052709,4
06040100060352,5052709,4
06040100060413,5052709,4
06050120040014,5082950,5
06050120040021,5082950,5
06050120040026,5082950,5
06050120040031,5082950,5
06050120040033,5082950,5
06050120040039,5082950,5
06050120040041,5082950,5
06050120040044,5082950,5
06050123020009,5087270,5
06050123020010,5087270,5
06050123020012,5087270,5
06050123020016,5087270,5
